method,anchor_class,target_class,sequence_id,time_index,difference_norm
methodA,truesmile,polite,16,16,0.6736401319503784
methodA,truesmile,polite,16,17,0.7491296529769897
methodA,truesmile,polite,16,18,0.6668220162391663
methodA,truesmile,polite,16,19,0.6320251226425171
methodA,ambiguous,polite,16,0,0.09579643607139587
methodA,ambiguous,polite,16,1,0.15273180603981018
methodA,ambiguous,polite,16,2,0.24503076076507568
methodA,ambiguous,polite,16,3,0.36403506994247437
methodA,ambiguous,polite,16,4,0.3193472623825073
methodA,ambiguous,polite,16,5,0.35108301043510437
methodA,ambiguous,polite,16,6,0.40744948387145996
methodA,ambiguous,polite,16,7,0.37961283326148987
methodA,ambiguous,polite,16,8,0.4385690689086914
methodA,ambiguous,polite,16,9,0.4364742934703827
methodA,ambiguous,polite,16,10,0.49155813455581665
methodA,ambiguous,polite,16,11,0.4390295147895813
methodA,ambiguous,polite,16,12,0.449759304523468
methodA,ambiguous,polite,16,13,0.4544874429702759
methodA,ambiguous,polite,16,14,0.5161128044128418
methodA,ambiguous,polite,16,15,0.4735267460346222
methodA,ambiguous,polite,16,16,0.4692419171333313
methodA,ambiguous,polite,16,17,0.5692988634109497
methodA,ambiguous,polite,16,18,0.5220295786857605
methodA,ambiguous,polite,16,19,0.4650069773197174
methodA,polite,polite,18,0,0.10602007061243057
methodA,polite,polite,18,1,0.11664474010467529
methodA,polite,polite,18,2,0.13666453957557678
methodA,polite,polite,18,3,0.14061886072158813
methodA,polite,polite,18,4,0.14992555975914001
methodA,polite,polite,18,5,0.31360697746276855
methodA,polite,polite,18,6,0.4308430254459381
methodA,polite,polite,18,7,0.432242214679718
methodA,polite,polite,18,8,0.4441276788711548
methodA,polite,polite,18,9,0.49137088656425476
methodA,polite,polite,18,10,0.42680296301841736
methodA,polite,polite,18,11,0.44281017780303955
methodA,polite,polite,18,12,0.5372443795204163
methodA,polite,polite,18,13,0.5372180938720703
methodA,polite,polite,18,14,0.686549961566925
methodA,polite,polite,18,15,0.6309284567832947
methodA,polite,polite,18,16,0.5338300466537476
methodA,polite,polite,18,17,0.5690428018569946
methodA,polite,polite,18,18,0.4931316673755646
methodA,polite,polite,18,19,0.5176947116851807
methodA,truesmile,polite,18,0,0.14975552260875702
methodA,truesmile,polite,18,1,0.14864003658294678
methodA,truesmile,polite,18,2,0.20840604603290558
methodA,truesmile,polite,18,3,0.25053393840789795
methodA,truesmile,polite,18,4,0.2864980101585388
methodA,truesmile,polite,18,5,0.46436360478401184
methodA,truesmile,polite,18,6,0.5879203677177429
methodA,truesmile,polite,18,7,0.603695809841156
methodA,truesmile,polite,18,8,0.6100342273712158
methodA,truesmile,polite,18,9,0.6804697513580322
methodA,truesmile,polite,18,10,0.6364009380340576
methodA,truesmile,polite,18,11,0.6556525230407715
methodA,truesmile,polite,18,12,0.6955265998840332
methodA,truesmile,polite,18,13,0.6831656098365784
methodA,truesmile,polite,18,14,0.7958146929740906
methodA,truesmile,polite,18,15,0.7977151870727539
methodA,truesmile,polite,18,16,0.6999626755714417
methodA,truesmile,polite,18,17,0.7003331780433655
methodA,truesmile,polite,18,18,0.6424201130867004
